"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03-29","2.91","0.03","0.0","0.0",,"53","49","  150","  160","8.9","16.1","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03-30","4.03","0.03","0.0","0.0",,"62","44","  300","  290","15.0","23.9","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03-31","6.49","0.00","0.0","0.0",,"58","39","  170","  300","16.1","25.1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-04-01","6.71","0.00","0.0","0.0",,"60","43","  250","  180","14.1","25.1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-04-02","5.82","0.59","5.5","5.1",,"43","33","   20","   10","16.1","21.9","    1","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-04-03","4.70","0.26","0.0","0.0",,"43","39","   60","   60","12.1","16.1","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-04-04","8.50","0.04","0.0","0.0",,"56","40","  280","  260","21.9","42.1","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-04-05","8.72","0.00","0.0","0.0",,"45","34","  280","  270","19.9","31.1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-04-06","4.92","0.11","0.0","0.0",,"62","37","  250","  250","15.0","27.1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-04-07","7.38","0.00","0.0","0.0",,"49","37","  300","  290","16.1","23.9",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-04-08","8.50","0.00","0.0","0.0",,"46","32","  290","  290","18.1","30.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-04-09","5.37","0.00","0.0","0.0",,"49","32","  310","  310","14.1","21.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-04-10","4.92","0.01","0.0","0.0",,"51","38","   10","  320","12.1","19.9","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-04-11","3.80","0.00","0.0","0.0",,"51","37","  170","  180","13.0","19.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-04-12","5.59","0.00","0.0","0.0",,"63","46","  250","  260","15.0","23.0",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-04-13","5.59","0.00","0.0","0.0",,"82","60","  250","  250","18.1","31.1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-04-14","7.38","0.00","0.0","0.0",,"77","44","   60","   60","21.0","27.1","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-04-15","12.30","0.47","0.0","0.0",,"44","38","   70","  100","21.9","32.0","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-04-16","11.41","2.82","0.0","0.0",,"60","39","   60","   50","28.0","44.1","    1",,"    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-04-17","8.50","0.00","0.0","0.0",,"47","39","  280","  270","17.0","29.1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-04-18","6.49","0.00","0.0","0.0",,"55","37","  250","  250","18.1","27.1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-04-19","7.61","0.15","0.0","0.0",,"49","38","  300","  290","18.1","29.1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-04-20","8.50","0.00","0.0","0.0",,"50","37","  310","  300","19.9","30.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-04-21","5.82","0.00","0.0","0.0",,"63","39","  280","  280","15.0","21.9",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-04-22","4.25","0.00","0.0","0.0",,"67","44","  180","  170","13.0","23.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-04-23","4.47","0.00","0.0","0.0",,"68","46","  160","  150","15.0","21.0",,,,,
